Asset_ID,Shipments,On_Time_Rate,Avg_Waiting_Time,Avg_Asset_Utilization,Delivered_Rate
Truck_10,105,0.3523809523809524,32.2952380952381,79.57523809523809,0.3238095238095238
Truck_3,93,0.3763440860215054,36.86021505376344,80.0978494623656,0.3333333333333333
Truck_4,107,0.411214953271028,35.308411214953274,79.0607476635514,0.32710280373831774
Truck_7,102,0.4117647058823529,36.72549019607843,80.66960784313724,0.3431372549019608
Truck_8,109,0.43119266055045874,33.36697247706422,80.24495412844037,0.27522935779816515
Truck_9,94,0.43617021276595747,34.159574468085104,79.9436170212766,0.3829787234042553
Truck_2,105,0.4666666666666667,35.23809523809524,80.15523809523809,0.38095238095238093
Truck_6,103,0.47572815533980584,35.61165048543689,79.026213592233,0.3106796116504854
Truck_1,89,0.48314606741573035,37.02247191011236,80.51685393258427,0.3595505617977528
Truck_5,93,0.5053763440860215,34.494623655913976,76.59569892473118,0.3548387096774194
