Date,Region,Category,Units_Sold,Units_Ordered,Revenue,Avg_Inventory,Forecast_APE,Stockout_Rate,Overstock_Rate,Avg_Days_of_Supply,Promo_Share
2022-01-01,East,Clothing,947,709,39812.6655,317.4,0.2052684552092408,0.0,0.0,3.5609018628307347,0.6
2022-01-01,East,Electronics,1126,505,72464.76449999999,372.25,0.11480799310148525,0.0,0.0,3.8571490189176907,0.25
2022-01-01,East,Furniture,335,351,9422.504,331.6666666666667,0.06049058759110307,0.0,0.0,3.1856000528680943,0.6666666666666666
2022-01-01,East,Groceries,129,232,3424.1819999999993,364.0,0.29842884615384624,0.0,0.0,7.769038461538462,0.5
2022-01-01,East,Toys,346,507,17091.2595,211.0,0.49970968303726937,0.0,0.0,2.830988041332869,0.6666666666666666
2022-01-01,North,Clothing,861,391,65243.7795,407.0,0.031243120700437808,0.0,0.0,1.6039052185393647,0.0
2022-01-01,North,Electronics,1033,702,58830.8995,312.0,0.20067803315019703,0.0,0.14285714285714285,7.992595740999102,0.7142857142857143
2022-01-01,North,Furniture,307,413,20256.408,202.0,0.18924980392156865,0.0,0.0,2.181,0.6666666666666666
2022-01-01,North,Groceries,826,552,49072.1825,300.6,0.04543501463477831,0.0,0.0,1.8230160027403155,0.4
2022-01-01,North,Toys,108,271,4454.201499999999,346.0,0.02584234391349846,0.0,0.0,6.216602720613882,1.0
2022-01-01,South,Clothing,483,430,19256.9685,189.0,0.3225618559162333,0.0,0.0,4.818960728408463,0.2
2022-01-01,South,Electronics,687,196,35713.218499999995,258.5,0.10019265786320777,0.0,0.0,2.115381497545859,0.5
2022-01-01,South,Furniture,439,385,29986.352000000003,275.0,0.058110364145658254,0.0,0.0,2.651297852474323,0.6666666666666666
2022-01-01,South,Groceries,997,940,73421.121,298.5,0.187591271887164,0.0,0.0,5.297762974553074,0.625
2022-01-01,South,Toys,861,917,35145.2025,214.75,0.11860498397349861,0.0,0.0,2.6507932527286755,0.625
2022-01-01,West,Clothing,1493,670,83270.444,307.44444444444446,0.19775799469198477,0.0,0.0,4.322383666550739,0.3333333333333333
2022-01-01,West,Electronics,594,896,26465.178000000004,246.0,0.3156150157109057,0.0,0.0,7.912143532601762,0.42857142857142855
2022-01-01,West,Furniture,657,359,20257.698,336.0,0.03267036344755972,0.0,0.0,1.5340020768431983,0.6666666666666666
2022-01-01,West,Groceries,1160,662,61661.62099999999,309.125,0.44265284820275463,0.0,0.0,4.762231562282986,0.625
2022-01-01,West,Toys,1095,833,47538.974,238.25,0.09857208929210436,0.0,0.0,1.9683488977680867,0.5
2022-01-02,East,Clothing,256,391,13687.323,232.0,0.06574303916094419,0.0,0.0,1.4580327191844322,0.3333333333333333
2022-01-02,East,Electronics,761,829,33380.348000000005,269.85714285714283,0.23163686544936546,0.0,0.0,2.9983130012218586,0.7142857142857143
2022-01-02,East,Furniture,1053,668,57238.4125,351.14285714285717,0.1400342898481481,0.0,0.0,3.2589979797456485,0.42857142857142855
2022-01-02,East,Groceries,1321,767,75096.5005,289.125,0.40822541148906244,0.125,0.125,9.359808696227043,0.125
2022-01-02,East,Toys,970,684,71747.2205,304.6,0.5161152655796857,0.0,0.0,2.439131239067244,0.6
2022-01-02,North,Clothing,93,338,3600.5909999999994,123.5,0.15615384615384612,0.0,0.0,2.882673588578845,0.5
2022-01-02,North,Electronics,575,818,31080.262,222.33333333333334,0.187326144594655,0.0,0.0,2.9889007039238726,0.5
2022-01-02,North,Furniture,50,135,2669.85,59.0,0.11260000000000005,0.0,0.0,0.39464882943143814,0.0
2022-01-02,North,Groceries,434,397,15196.069500000001,246.25,0.09753950018829363,0.0,0.0,1.3279006762301213,0.75
2022-01-02,North,Toys,1528,831,107630.1105,377.875,0.12079005208151276,0.0,0.0,3.542909498130076,0.625
2022-01-02,South,Clothing,930,617,59629.125,279.8,0.025057009178075445,0.0,0.0,1.925500942593328,0.4
2022-01-02,South,Electronics,256,150,19757.056,477.0,0.004335937500000053,0.0,0.0,3.1589403973509933,0.0
2022-01-02,South,Furniture,231,268,9572.027999999998,170.5,0.5918629891684137,0.0,0.0,3.8684731813904527,0.5
2022-01-02,South,Groceries,449,200,26793.791,294.0,0.08168842116751605,0.0,0.0,2.96496492480413,0.3333333333333333
2022-01-02,South,Toys,419,495,11162.9685,284.0,0.19441126003626003,0.0,0.0,2.746065161529828,0.25
2022-01-02,West,Clothing,1047,737,55095.5165,260.14285714285717,0.05363200433049716,0.0,0.0,1.7312004550151525,0.5714285714285714
2022-01-02,West,Electronics,963,673,50437.4685,287.42857142857144,0.04726844670950075,0.0,0.0,3.272500544696082,0.5714285714285714
2022-01-02,West,Furniture,774,1088,34664.877,231.44444444444446,0.19743687323711478,0.0,0.0,2.6437444840186513,0.3333333333333333
2022-01-02,West,Groceries,613,342,24671.953999999998,266.5,0.29901639253784257,0.0,0.0,1.8110164407863523,0.75
2022-01-02,West,Toys,692,342,40752.544,233.0,0.6051709488143244,0.0,0.0,1.824126298647008,0.2
2022-01-03,East,Clothing,631,502,38920.4945,196.5,0.7079769256329606,0.0,0.0,1.6619467161979282,0.3333333333333333
2022-01-03,East,Electronics,831,305,26321.588000000003,307.75,0.028863226560517034,0.0,0.0,2.3994822122401467,0.75
2022-01-03,East,Furniture,20,147,1492.07,97.0,0.8629999999999999,0.0,0.0,1.3661971830985915,0.0
2022-01-03,East,Groceries,478,523,25592.601,238.33333333333334,0.2971820099731492,0.0,0.0,2.5951179242814786,0.3333333333333333
2022-01-03,East,Toys,417,274,17014.0715,229.0,0.3406282228857118,0.0,0.0,1.4857138772616025,0.3333333333333333
2022-01-03,North,Clothing,331,782,18033.6355,227.6,0.39861918757712866,0.0,0.0,1.6724555592828547,0.8
2022-01-03,North,Electronics,485,345,36984.581999999995,338.25,0.19540252688571708,0.0,0.0,2.4057314704930413,0.75
2022-01-03,North,Furniture,367,259,9538.376,268.5,0.24996401515151515,0.0,0.0,1.6856908023483368,0.0
2022-01-03,North,Groceries,739,615,25657.548,303.14285714285717,0.8124343408104032,0.0,0.0,4.292337851957154,0.8571428571428571
2022-01-03,North,Toys,1054,1012,40828.137,251.88888888888889,0.6378470564556101,0.0,0.0,1.8328239164444635,0.6666666666666666
2022-01-03,South,Clothing,646,753,33028.433,289.8333333333333,0.16149347104228565,0.0,0.0,3.48348808511137,0.5
2022-01-03,South,Electronics,885,495,55786.0275,343.5,0.01775519188743987,0.0,0.0,2.350473090933557,0.5
2022-01-03,South,Furniture,388,423,28836.9325,138.25,0.43213222902601145,0.0,0.0,1.6195930352643697,0.5
