Month,Shipments,On_Time_Rate,Avg_Waiting_Time
2024-01,92,0.4782608695652174,34.15217391304348
2024-02,77,0.38961038961038963,34.05194805194805
2024-03,94,0.43617021276595747,36.159574468085104
2024-04,86,0.43023255813953487,32.36046511627907
2024-05,74,0.47297297297297297,37.054054054054056
2024-06,77,0.33766233766233766,33.94805194805195
2024-07,86,0.37209302325581395,35.372093023255815
2024-08,77,0.4155844155844156,33.714285714285715
2024-09,83,0.5180722891566265,38.30120481927711
2024-10,83,0.46987951807228917,34.59036144578313
2024-11,82,0.4146341463414634,35.30487804878049
2024-12,89,0.4606741573033708,35.69662921348315
