Month,Revenue,Units_Sold,Forecast_WAPE_Pct,Stockout_Rate_Pct,Avg_Days_of_Supply
2022-01,20919532.6185,419938.0,6.124113559620706,0.6451612903225806,2.258327215501074
2022-02,19061033.4925,391052.0,6.065853134621483,0.6071428571428571,2.121986851630907
2022-03,21522683.073,426073.0,6.091981890427228,0.4838709677419355,2.1353525376404434
2022-04,20314402.6835,407380.0,6.129999018115765,0.3,2.138663922192202
2022-05,20542562.4075,414799.0,6.11875631329873,0.3225806451612903,2.1587762134661705
2022-06,20981786.824,415509.0,5.937488718655914,0.33333333333333337,2.1841551353322175
2022-07,21293910.196999997,426628.0,6.066320072756594,0.3870967741935484,2.125074243633367
2022-08,21055281.1855,424916.0,6.074525317945194,0.5483870967741935,2.1549352924829117
2022-09,20628910.981,411610.0,6.101829401618036,0.5,2.1945222229560284
2022-10,21147496.159500003,426863.0,6.048022433427119,0.6129032258064516,2.13219011757689
2022-11,20719137.3525,414535.0,6.0056810643250875,0.5666666666666667,2.160519250876816
2022-12,20268137.3695,412321.0,6.273185212492209,0.4193548387096774,2.21204141118657
2023-01,20723763.130499996,423408.0,6.002612137701697,0.5483870967741935,2.138133656817967
2023-02,19228946.411,385168.0,6.20322300918041,0.35714285714285715,2.157142545954285
2023-03,20944688.726,416522.0,6.171023379317299,0.3870967741935484,2.182642807371778
2023-04,20197978.262000002,401077.0,6.0735943472201095,0.6,2.21191587807096
2023-05,20726724.873,418673.0,6.100871085548865,0.6774193548387096,2.131988270461582
2023-06,20046288.81,405641.0,6.229671063822444,0.7666666666666666,2.185325694155872
2023-07,21306954.4005,437919.0,6.08340811885303,0.4838709677419355,2.1169511398875653
2023-08,20566570.7515,416501.0,6.3237663294926065,0.6451612903225806,2.118127114757411
2023-09,19876339.861500002,405361.0,6.077299000150483,0.33333333333333337,2.180807661163189
2023-10,20912916.376999997,425646.0,6.149687768709209,0.5806451612903226,2.167363342245268
2023-11,20711675.485999998,416126.0,6.065444120290489,0.4,2.143215836225389
2023-12,20645510.740000002,418672.0,6.139789620514389,0.6129032258064516,2.111203608461355
2024-01,628142.7754999999,13244.0,5.958622772576262,0.0,1.991825750983591
